LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,TotalValue
FIN,PHARMAEXP,TOT,USD_CAP,A,2000,282.6023,B,748.896095
FIN,PHARMAEXP,TOT,USD_CAP,A,2001,309.2908,,821.167074
FIN,PHARMAEXP,TOT,USD_CAP,A,2002,339.8152,,903.5686168
FIN,PHARMAEXP,TOT,USD_CAP,A,2003,356.0925,,948.63042
FIN,PHARMAEXP,TOT,USD_CAP,A,2004,392.8761,,1049.3720631
FIN,PHARMAEXP,TOT,USD_CAP,A,2005,413.1351,,1106.7889329
FIN,PHARMAEXP,TOT,USD_CAP,A,2006,405.1589,,1089.0671232
FIN,PHARMAEXP,TOT,USD_CAP,A,2007,430.7631,,1162.1988438
FIN,PHARMAEXP,TOT,USD_CAP,A,2008,468.4428,,1269.0115452
FIN,PHARMAEXP,TOT,USD_CAP,A,2009,468.1731,,1273.8990051
FIN,PHARMAEXP,TOT,USD_CAP,A,2010,459.2402,,1254.6442264
FIN,PHARMAEXP,TOT,USD_CAP,A,2011,465.3456,,1276.4429808
FIN,PHARMAEXP,TOT,USD_CAP,A,2012,474.2172,,1305.9941688
FIN,PHARMAEXP,TOT,USD_CAP,A,2013,484.7608,,1340.363612
FIN,PHARMAEXP,TOT,USD_CAP,A,2014,476.0305,,1323.36479
FRA,PHARMAEXP,TOT,USD_CAP,A,1970,46.8295,,1216.62010751
FRA,PHARMAEXP,TOT,USD_CAP,A,1975,75.1981,,2022.23332105
FRA,PHARMAEXP,TOT,USD_CAP,A,1980,106.4538,,2934.67897049
FRA,PHARMAEXP,TOT,USD_CAP,A,1985,166.4412,,4716.61738325
FRA,PHARMAEXP,TOT,USD_CAP,A,1990,242.1783,,7048.0303025
FRA,PHARMAEXP,TOT,USD_CAP,A,1991,264.8945,,7746.53767277
FRA,PHARMAEXP,TOT,USD_CAP,A,1992,280.0446,,8228.98735138
FRA,PHARMAEXP,TOT,USD_CAP,A,1993,303.9291,,8968.83832652
FRA,PHARMAEXP,TOT,USD_CAP,A,1994,314.1311,,9304.56946462
FRA,PHARMAEXP,TOT,USD_CAP,A,1995,313.6452,B,9323.88454655
FRA,PHARMAEXP,TOT,USD_CAP,A,1996,319.3977,,9527.7579561
FRA,PHARMAEXP,TOT,USD_CAP,A,1997,334.2935,,10005.9159241
FRA,PHARMAEXP,TOT,USD_CAP,A,1998,356.5237,,10708.7668979
FRA,PHARMAEXP,TOT,USD_CAP,A,1999,383.0212,,11563.7432564
FRA,PHARMAEXP,TOT,USD_CAP,A,2000,419.7953,,12763.208622
